dns_ratio,Forward time,Backward time,Data time,Other time,Total time,FPS,BatchSize
0.1,0.3649,0.3749,0.0151,0.0074,0.7623,167.9181,128
0.1,0.4955,0.5831,0.0196,0.0057,1.1039,173.9298,192
0.1,0.6158,0.7804,0.0297,0.0034,1.4294,179.0955,256
0.3,0.3785,0.3742,0.0132,0.007,0.7729,165.6109,128
0.3,0.5006,0.5623,0.0208,0.0072,1.0908,176.0194,192
0.3,0.6271,0.7542,0.0335,0.0036,1.4185,180.4728,256
0.5,0.3548,0.3478,0.0137,0.0086,0.725,176.5588,128
0.5,0.4629,0.5228,0.0223,0.0043,1.0122,189.6838,192
0.5,0.5741,0.7019,0.0291,0.0044,1.3095,195.5006,256
0.7,0.3789,0.3875,0.013,0.0063,0.7858,162.8991,128
0.7,0.5006,0.5743,0.0197,0.0034,1.098,174.859,192
0.7,0.6253,0.7929,0.0289,0.0088,1.4559,175.831,256
0.9,0.3652,0.3965,0.0129,0.0054,0.78,164.0937,128
0.9,0.4955,0.6007,0.0192,0.0062,1.1217,171.1757,192
0.9,0.6163,0.8242,0.029,0.0076,1.4771,173.3079,256
